0.001,5.68427
0.011,3.48873
0.021,3.0937
0.031,2.89626
0.041,2.77529
0.051,2.69437
0.061,2.63791
0.071,2.59789
0.081,2.56966
0.091,2.5503
0.101,2.53786
0.111,2.53098
0.121,2.52866
0.131,2.53015
0.141,2.53486
0.151,2.54234
0.161,2.5522
0.171,2.56414
0.181,2.57786
0.191,2.59315
0.201,2.60978
0.211,2.62756
0.221,2.64631
0.231,2.66585
0.241,2.68603
0.251,2.70668
0.261,2.72765
0.271,2.74877
0.281,2.76989
0.291,2.79084
0.301,2.81146
0.311,2.83159
0.321,2.85105
0.331,2.86967
0.341,2.88726
0.351,2.90365
0.361,2.91864
0.371,2.93205
0.381,2.94367
0.391,2.95331
0.401,2.96077
0.411,2.96584
0.421,2.96831
0.431,2.968
0.441,2.96469
0.451,2.95819
0.461,2.94831
0.471,2.93486
0.481,2.91766
0.491,2.89656
0.501,2.87141
0.511,2.84206
0.521,2.80841
0.531,2.77036
0.541,2.72783
0.551,2.68079
0.561,2.62921
0.571,2.57312
0.581,2.51256
0.591,2.4476
0.601,2.37838
0.611,2.30505
0.621,2.22781
0.631,2.14688
0.641,2.06256
0.651,1.97516
0.661,1.88503
0.671,1.79255
0.681,1.69816
0.691,1.60231
0.701,1.50547
0.711,1.40815
0.721,1.31087
0.731,1.21416
0.741,1.11855
0.751,1.02457
0.761,0.932753
0.771,0.843596
0.781,0.757586
0.791,0.675172
0.801,0.596769
0.811,0.522745
0.821,0.453419
0.831,0.389051
0.841,0.329845
0.851,0.275935
0.861,0.227393
0.871,0.184221
0.881,0.146351
0.891,0.11365
0.901,0.0859163
0.911,0.0628882
0.921,0.0442444
0.931,0.0296112
0.941,0.0185674
0.951,0.010652
0.961,0.00537095
0.971,0.00220515
0.981,0.000618402
0.991,6.54473e-05
